Start,End,Sif,SrcIPaddress,SrcP,DIf,DstIPaddress,DstP,P,Fl,Pkts,Octets
0416.05:21:14.490,0416.05:21:14.506,0,192.168.0.107,3373,0,68.105.29.11,53,17,0,1,65
0416.05:21:14.490,0416.05:21:14.511,0,192.168.0.107,49712,0,68.105.28.11,53,17,0,1,65
0416.05:21:14.490,0416.05:21:14.511,0,192.168.0.107,49712,0,68.105.29.11,53,17,0,1,65
0416.05:21:14.490,0416.05:21:14.512,0,192.168.0.107,49712,0,68.105.28.12,53,17,0,1,65
0416.05:21:14.602,0416.05:21:14.624,0,192.168.0.107,47271,0,68.105.29.11,53,17,0,1,62
0416.05:21:14.624,0416.05:21:14.641,0,192.168.0.107,25444,0,68.105.29.11,53,17,0,1,70
0416.05:21:14.695,0416.05:21:14.712,0,192.168.0.107,41743,0,68.105.29.11,53,17,0,1,60
0416.05:21:14.695,0416.05:21:14.712,0,192.168.0.107,18601,0,68.105.29.11,53,17,0,1,60
0416.05:21:14.712,0416.05:21:14.946,0,192.168.0.107,47180,0,44.232.94.125,443,6,3,10,1363
0416.05:21:15.457,0416.05:21:15.466,0,192.168.0.107,24467,0,68.105.29.11,53,17,0,1,62
0416.05:21:15.457,0416.05:21:15.472,0,192.168.0.107,52700,0,68.105.29.11,53,17,0,1,62
0416.05:21:15.480,0416.05:21:15.548,0,192.168.0.107,38416,0,3.33.220.150,443,6,3,5,785
0416.05:21:15.480,0416.05:21:15.548,0,192.168.0.107,38418,0,3.33.220.150,443,6,3,5,785
0416.05:21:15.507,0416.05:21:15.526,0,192.168.0.107,27282,0,68.105.29.11,53,17,0,1,72
0416.05:21:15.507,0416.05:21:15.526,0,192.168.0.107,39860,0,68.105.29.11,53,17,0,1,72
0416.05:21:15.532,0416.05:21:15.543,0,192.168.0.107,45707,0,68.105.29.11,53,17,0,1,70
0416.05:21:15.533,0416.05:21:15.548,0,192.168.0.107,1670,0,68.105.29.11,53,17,0,1,70
0416.05:21:15.534,0416.05:21:15.550,0,192.168.0.107,24336,0,68.105.29.11,53,17,0,1,66
0416.05:21:15.535,0416.05:21:15.550,0,192.168.0.107,35522,0,68.105.29.11,53,17,0,1,66
0416.05:21:15.646,0416.05:21:15.661,0,192.168.0.107,56505,0,68.105.29.11,53,17,0,1,62
0416.05:21:15.647,0416.05:21:15.664,0,192.168.0.107,29197,0,68.105.29.11,53,17,0,1,62
0416.05:21:15.790,0416.05:21:15.806,0,192.168.0.107,14068,0,68.105.29.11,53,17,0,1,58
0416.05:21:15.791,0416.05:21:15.806,0,192.168.0.107,50574,0,68.105.29.11,53,17,0,1,58
0416.05:21:16.064,0416.05:21:16.079,0,192.168.0.107,50039,0,68.105.29.11,53,17,0,1,65
0416.05:21:16.064,0416.05:21:16.080,0,192.168.0.107,18881,0,68.105.29.11,53,17,0,1,65
0416.05:21:16.064,0416.05:21:16.080,0,192.168.0.107,62037,0,68.105.29.11,53,17,0,1,61
0416.05:21:16.064,0416.05:21:16.084,0,192.168.0.107,15727,0,68.105.29.11,53,17,0,1,61
0416.05:21:18.659,0416.05:21:18.692,0,192.168.0.107,60220,0,68.105.29.11,53,17,0,1,53
0416.05:21:18.659,0416.05:21:18.674,0,192.168.0.107,41535,0,68.105.29.11,53,17,0,1,53
0416.05:21:18.716,0416.05:21:18.729,0,192.168.0.107,58907,0,68.105.29.11,53,17,0,1,70
0416.05:21:18.780,0416.05:21:18.795,0,192.168.0.107,19369,0,68.105.29.11,53,17,0,1,57
0416.05:21:18.780,0416.05:21:18.798,0,192.168.0.107,33451,0,68.105.29.11,53,17,0,1,57
0416.05:21:19.621,0416.05:21:19.661,0,192.168.0.107,21619,0,68.105.29.11,53,17,0,1,63
0416.05:21:19.621,0416.05:21:19.637,0,192.168.0.107,10879,0,68.105.29.11,53,17,0,1,63
0416.05:21:19.638,0416.05:21:19.651,0,192.168.0.107,13898,0,68.105.29.11,53,17,0,1,64
0416.05:21:19.638,0416.05:21:19.649,0,192.168.0.107,20810,0,68.105.29.11,53,17,0,1,64
0416.05:21:19.646,0416.05:21:19.661,0,192.168.0.107,57556,0,68.105.29.11,53,17,0,1,60
0416.05:21:19.646,0416.05:21:19.661,0,192.168.0.107,38110,0,68.105.29.11,53,17,0,1,60
0416.05:21:19.648,0416.05:21:19.661,0,192.168.0.107,45667,0,68.105.29.11,53,17,0,1,55
0416.05:21:19.648,0416.05:21:19.661,0,192.168.0.107,34541,0,68.105.29.11,53,17,0,1,55
0416.05:21:19.659,0416.05:21:19.705,0,192.168.0.107,54656,0,68.105.29.11,53,17,0,1,68
0416.05:21:19.659,0416.05:21:19.721,0,192.168.0.107,28783,0,68.105.29.11,53,17,0,1,68
0416.05:21:19.708,0416.05:21:19.719,0,192.168.0.107,21968,0,68.105.29.11,53,17,0,1,57
0416.05:21:19.708,0416.05:21:19.762,0,192.168.0.107,36995,0,68.105.29.11,53,17,0,1,57
0416.05:21:19.755,0416.05:21:19.774,0,192.168.0.107,33741,0,68.105.29.11,53,17,0,1,72
0416.05:21:19.756,0416.05:21:19.776,0,192.168.0.107,29648,0,68.105.29.11,53,17,0,1,72
0416.05:21:14.838,0416.05:21:20.027,0,192.168.0.107,44554,0,192.229.211.108,80,6,3,4,216
0416.05:21:21.331,0416.05:21:21.419,0,192.168.0.107,42028,0,18.155.173.47,443,6,3,11,1415
0416.05:21:22.290,0416.05:21:22.341,0,192.168.0.107,12100,0,68.105.29.11,53,17,0,1,69
0416.05:21:22.290,0416.05:21:22.336,0,192.168.0.107,25816,0,68.105.29.11,53,17,0,1,69
0416.05:21:22.661,0416.05:21:22.676,0,192.168.0.107,9577,0,68.105.29.11,53,17,0,1,72
